total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,algorithm,seed,mean_delay_seconds,travel_time_proxy_seconds,mean_queue,duration_seconds,scenario,episode,policy_label
15,4,277,3.75,,180.0,independent_qplf,Independent Learner - QPLF,51,34.963899,154.963899,16.141667,600,scenario1_low_demand,44,Independent Learner - QPLF
31,4,287,7.75,,170.0,independent_qplf,Independent Learner - QPLF,52,17.254355,137.254355,8.253333,600,scenario1_low_demand,45,Independent Learner - QPLF
8,4,304,2.0,,120.0,independent_qplf,Independent Learner - QPLF,53,55.236842,175.236842,27.986667,600,scenario1_low_demand,46,Independent Learner - QPLF
8,4,246,2.0,,270.0,independent_qplf,Independent Learner - QPLF,54,63.349593,183.349593,25.973333,600,scenario1_low_demand,47,Independent Learner - QPLF
17,4,304,4.25,,152.5,independent_qplf,Independent Learner - QPLF,55,40.269737,160.269737,20.403333,600,scenario1_low_demand,48,Independent Learner - QPLF
21,4,298,5.25,,145.0,independent_qplf,Independent Learner - QPLF,56,26.483221,146.483221,13.153333,600,scenario1_low_demand,49,Independent Learner - QPLF
24,4,304,6.0,,130.0,independent_qplf,Independent Learner - QPLF,57,22.684211,142.684211,11.493333,600,scenario1_low_demand,50,Independent Learner - QPLF
8,4,233,2.0,,255.0,independent_qplf,Independent Learner - QPLF,58,77.575107,197.575107,30.125,600,scenario1_low_demand,51,Independent Learner - QPLF
23,4,264,5.75,,150.0,independent_qplf,Independent Learner - QPLF,59,19.018939,139.018939,8.368333,600,scenario1_low_demand,52,Independent Learner - QPLF
19,4,271,4.75,,150.0,independent_qplf,Independent Learner - QPLF,60,33.649446,153.649446,15.198333,600,scenario1_low_demand,53,Independent Learner - QPLF
20,4,296,5.0,,185.0,independent_qplf,Independent Learner - QPLF,61,26.043919,146.043919,12.848333,600,scenario1_low_demand,54,Independent Learner - QPLF
28,4,277,7.0,,155.0,independent_qplf,Independent Learner - QPLF,62,14.931408,134.931408,6.893333,600,scenario1_low_demand,55,Independent Learner - QPLF
25,4,295,6.25,,155.0,independent_qplf,Independent Learner - QPLF,63,22.664407,142.664407,11.143333,600,scenario1_low_demand,56,Independent Learner - QPLF
38,4,317,9.5,,125.0,independent_qplf,Independent Learner - QPLF,64,5.299685,125.299685,2.8,600,scenario1_low_demand,57,Independent Learner - QPLF
25,4,306,6.25,,147.5,independent_qplf,Independent Learner - QPLF,65,14.04902,134.04902,7.165,600,scenario1_low_demand,58,Independent Learner - QPLF
20,4,303,5.0,,130.0,independent_qplf,Independent Learner - QPLF,66,15.105611,135.105611,7.628333,600,scenario1_low_demand,59,Independent Learner - QPLF
30,4,331,7.5,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,7,8.897281,128.897281,4.908333,600,scenario1_low_demand,0,Semi-Coordinated - Full RL
47,4,306,11.75,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,8,2.892157,122.892157,1.475,600,scenario1_low_demand,1,Semi-Coordinated - Full RL
61,4,333,15.25,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,9,5.384384,125.384384,2.988333,600,scenario1_low_demand,2,Semi-Coordinated - Full RL
67,4,301,16.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,10,1.734219,121.734219,0.87,600,scenario1_low_demand,3,Semi-Coordinated - Full RL
70,4,303,17.5,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,11,1.590759,121.590759,0.803333,600,scenario1_low_demand,4,Semi-Coordinated - Full RL
66,4,285,16.5,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,12,1.729825,121.729825,0.821667,600,scenario1_low_demand,5,Semi-Coordinated - Full RL
69,4,292,17.25,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,13,1.75,121.75,0.851667,600,scenario1_low_demand,6,Semi-Coordinated - Full RL
